Google

388,Longest Absolute File Path,34.7%,Medium,
340,Longest Substring with At Most K Distinct Characters,38.5%,Hard,
308,Range Sum Query 2D - Mutable,19.8%,Hard,
418,Sentence Screen Fitting,27.2%,Medium,
361,Bomb Enemy,38.0%,Medium,
281,Zigzag Iterator,48.3%,Medium,
298,Binary Tree Longest Consecutive Sequence,39.8%,Medium,
425,Word Squares,41.7%,Hard,
346,Moving Average from Data Stream,57.4%,Easy,
163,Missing Ranges,27.7%,Medium,
394,Decode String,40.2%,Medium,
66,Plus One,36.9%,Easy,
393,UTF-8 Validation,35.6%,Medium,
317,Shortest Distance from All Buildings,33.2%,Hard,
271,Encode and Decode Strings,26.5%,Medium,
288,Unique Word Abbreviation,15.3%,Easy,
305,Number of Islands II,38.0%,Hard,
280,Wiggle Sort,55.0%,Medium,
200,Number of Islands,32.2%,Medium,
259,3Sum Smaller,40.6%,Medium,
289,Game of Life,36.3%,Medium,
246,Strobogrammatic Number,38.8%,Easy,
351,Android Unlock Patterns,42.7%,Medium,
406,Queue Reconstruction by Height,54.5%,Medium,
391,Perfect Rectangle,24.1%,Hard,
279,Perfect Squares,35.0%,Medium,
286,Walls and Gates,42.3%,Medium,
218,The Skyline Problem,25.5%,Hard,
465,optimal Account Balancing,29.9%,Hard,
345,Reverse Vowels of a String,37.3%,Easy,
56,Merge Intervals,28.3%,Hard,
297,Serialize and Deserialize Binary Tree,31.5%,Hard,
407,Trapping Rain Water II,35.5%,Hard,
471,Encode String with Shortest Length,43.5%,Hard,
417,Pacific Atlantic Water Flow,32.7%,Medium,
399,Evaluate Division,39.8%,Medium,
320,Generalized Abbreviation,43.5%,Medium,
247,Strobogrammatic Number II,38.2%,Medium,
411,Minimum Unique Word Abbreviation,31.1%,Hard,
329,Longest Increasing Path in a Matrix,35.4%,Hard,
295,Find Median from Data Stream,23.3%,Hard,
228,Summary Ranges,28.0%,Medium,
159,Longest Substring with At Most Two Distinct Characters,39.6%,Hard,
284,Peeking Iterator,35.1%,Medium,
359,Logger Rate Limiter,58.1%,Easy,
380,Insert Delete GetRandom O(1),38.3%,Hard,
294,Flip Game II,45.2%,Medium,
